Errors for Brill Tagger 'rules.yaml'

             left context |    word/test->gold     | right context
NE- to/TO avoid/VB the/DT | morale-damaging/NN->JJ | public/JJ disclosure/NN t
says/VBZ 0/-NONE- she/PRP |    offered/VBN->VBD    | Mrs./NNP Yeargin/NNP a/DT
/PRP offered/VBD Mrs./NNP |    Yeargin/NN->NNP     | a/DT quiet/JJ resignation
Mrs./NNP Yeargin/NNP a/DT |      quiet/NN->JJ      | resignation/NN and/CC tho
/JJ resignation/NN and/CC |    thought/VBN->VBD    | 0/-NONE- she/PRP could/MD
uld/MD help/VB *-1/-NONE- |      save/NN->VB       | her/PRP teaching/NN certi
elp/VB *-1/-NONE- save/VB |     her/PRP$->PRP      | teaching/NN certificate/N
                 Mrs./NNP |    Yeargin/NN->NNP     | declined/VBD ./.
e/IN `/`` You/PRP just/RB |      want/VB->VBP      | *-1/-NONE- to/TO make/VB 
r/IN the/DT school/NN ./. |       '/POS->''        | 
            I/PRP was/VBD |   dumbfounded/NN->JJ   | ,/, ''/'' Mrs./NNP Ward/N
ded/JJ ,/, ''/'' Mrs./NNP |      Ward/NN->NNP      | recalls/VBZ *T*-1/-NONE- 
, ''/'' Mrs./NNP Ward/NNP |    recalls/NN->VBZ     | *T*-1/-NONE- ./.
ike/IN someone/NN had/VBD |    turned/VBD->VBN     | a/DT knife/NN in/IN me/PR
d/VBN a/DT knife/NN in/IN |       me/NN->PRP       | ./. ''/''
 dismay/NN of/IN her/PRP$ |   superiors/NN->NNS    | and/CC legal/JJ authoriti
riors/NNS and/CC legal/JJ |  authorities/NN->NNS   | --/: and/JJ perhaps/RB as
l/JJ authorities/NNS --/: |       and/CC->JJ       | perhaps/RB as/IN a/DT mea
/DT unpopularity/NN of/IN |  standardized/NN->JJ   | tests/NNS --/: Mrs/NNP ./
ardized/JJ tests/NNS --/: |      Mrs/NN->NNP       | ./. Yeargin/NNP won/VBD w
ests/NNS --/: Mrs/NNP ./. |    Yeargin/NN->NNP     | won/VBD widespread/JJ loc
: Mrs/NNP ./. Yeargin/NNP |      won/NN->VBD       | widespread/JJ local/JJ su
P ./. Yeargin/NNP won/VBD |   widespread/NN->JJ    | local/JJ support/NN ./.
BD widespread/JJ local/JJ |     support/VB->NN     | ./.
which/WDT she/PRP was/VBD |   dismissed/NN->VBN    | *-2/-NONE- *T*-1/-NONE- w
ONE- *T*-1/-NONE- was/VBD |    crowded/NN->VBN     | *-4/-NONE- with/IN studen
ed/VBN *-4/-NONE- with/IN |    students/NN->NNS    | ,/, teachers/NNS and/CC p
 with/IN students/NNS ,/, |    teachers/NN->NNS    | and/CC parents/NNS who/WP
S ,/, teachers/NNS and/CC |    parents/NN->NNS     | who/WP *T*-98/-NONE- came
and/CC parents/NNS who/WP |   *T*-98/NN->-NONE-    | came/VBD *-3/-NONE- to/TO
came/VBD *-3/-NONE- to/TO |     testify/NN->VB     | on/IN her/PRP$ behalf/NN 
                          |   Supportive/NN->JJ    | callers/NNS decried/VBD u
            Supportive/JJ |    callers/NN->NNS     | decried/VBD unfair/JJ tes
Supportive/JJ callers/NNS |    decried/NN->VBD     | unfair/JJ testing/NN ,/, 
J callers/NNS decried/VBD |     unfair/NN->JJ      | testing/NN ,/, not/RB Mrs
ng/NN ,/, not/RB Mrs./NNP |    Yeargin/NN->NNP     | ,/, on/IN a/DT local/JJ r
IN a/DT local/JJ radio/NN |      talk/VBP->NN      | show/NN on/IN which/WDT s
local/JJ radio/NN talk/NN |      show/VBP->NN      | on/IN which/WDT she/PRP a
 radio/NN talk/NN show/NN |       on/RP->IN        | which/WDT she/PRP appeare
N on/IN which/WDT she/PRP |    appeared/NN->VBD    | *T*-1/-NONE- ./.
                   The/DT |      show/VBP->NN      | did/VBD n't/RB give/VB th
VBD n't/RB give/VB the/DT |  particulars/NN->NNS   | of/IN Mrs./NNP Yeargin/NN
culars/NNS of/IN Mrs./NNP |    Yeargin/NN->NNP     | 's/POS offense/NN ,/, *-1
G only/RB that/IN she/PRP |    helped/VBN->VBD     | students/NNS do/VB better
hat/IN she/PRP helped/VBD |    students/NN->NNS    | do/VB better/RBR on/IN th
P helped/VBD students/NNS |       do/VBP->VB       | better/RBR on/IN the/DT t
education/NN out/IN of/IN |      all/DT->PDT       | this/DT is/VBZ 0/-NONE- w
DT is/VBZ 0/-NONE- we/PRP |      've/NN->VBP       | got/VBN *-1/-NONE- to/TO 
Z 0/-NONE- we/PRP 've/VBP |      got/VBD->VBN      | *-1/-NONE- to/TO take/VB 
nd/CC our/PRP$ testing/NN |    policies/NN->NNS    | *T*-2/-NONE- in/IN this/D
                          |   Editorials/NN->NNS   | in/IN the/DT Greenville/N
itorials/NNS in/IN the/DT |   Greenville/NN->NNP   | newspaper/NN allowed/VBD 
eenville/NNP newspaper/NN |    allowed/NN->VBD     | that/IN Mrs./NNP Yeargin/
owed/VBD that/IN Mrs./NNP |    Yeargin/NN->NNP     | was/VBD wrong/JJ ,/, but/
./NNP Yeargin/NNP was/VBD |      wrong/NN->JJ      | ,/, but/CC also/RB said/V
ting/NN was/VBD being/VBG |    overused/NN->VBN    | *-2/-NONE- *T*-1/-NONE- .
          The/DT radio/NN |      show/VBP->NN      | ``/`` enraged/VBD us/PRP 
DT radio/NN show/NN ``/`` |    enraged/NN->VBD     | us/PRP ,/, ''/'' says/VBZ
VBZ *T*-1/-NONE- Mrs./NNP |      Ward/NN->NNP      | ./.
                          |     Partly/NN->RB      | because/IN of/IN the/DT s
B because/IN of/IN the/DT |      show/VBP->NN      | ,/, Mr./NNP Watson/NNP sa
he/DT show/NN ,/, Mr./NNP |     Watson/NN->NNP     | says/VBZ 0/-NONE- *T*-1/-
/TO recommend/VB Mrs./NNP |    Yeargin/NN->NNP     | for/IN a/DT first-time/JJ
P Yeargin/NNP for/IN a/DT |   first-time/NN->JJ    | offenders/NNS program/NN 
for/IN a/DT first-time/JJ |   offenders/NN->NNS    | program/NN that/WDT *T*-9
s/NNS program/NN that/WDT |   *T*-99/NN->-NONE-    | could/MD have/VB expunged
9/-NONE- could/MD have/VB |    expunged/NN->VBN    | the/DT charges/NNS and/CC
          And/CC legal/JJ |  authorities/NN->NNS   | cranked/VBD up/RP an/DT i
 legal/JJ authorities/NNS |    cranked/NN->VBD     | up/RP an/DT investigation
RP an/DT investigation/NN |     worthy/NN->JJ      | of/IN a/DT murder/NN case
                          |      Over/NN->IN       | 50/CD witnesses/NNS ,/, m
            Over/IN 50/CD |   witnesses/NN->NNS    | ,/, mostly/RB students/NN
N 50/CD witnesses/NNS ,/, |     mostly/NN->RB      | students/NNS ,/, were/VBD
tnesses/NNS ,/, mostly/RB |    students/NN->NNS    | ,/, were/VBD interviewed/
students/NNS ,/, were/VBD |  interviewed/NN->VBN   | *-1/-NONE- ./.
                    At/IN |   Greenville/NN->NNP   | High/NNP School/NNP ,/, m
     At/IN Greenville/NNP |      High/NN->NNP      | School/NNP ,/, meanwhile/
N Greenville/NNP High/NNP |     School/NN->NNP     | ,/, meanwhile/RB ,/, some
P High/NNP School/NNP ,/, |    meanwhile/NN->RB    | ,/, some/DT students/NNS 
 meanwhile/RB ,/, some/DT |    students/NN->NNS    | --/: especially/RB on/IN 
NN squad/NN --/: were/VBD |     crushed/NN->JJ     | *-1/-NONE- ./.
PRP *EXP*-1/-NONE- 's/VBZ |      hard/RB->JJ       | */-NONE- to/TO explain/VB
BZ hard/JJ */-NONE- to/TO |     explain/NN->VB     | to/TO a/DT 17-year-old/JJ
/TO explain/VB to/TO a/DT |   17-year-old/NN->JJ   | why/WRB someone/NN 0/-NON
eone/NN 0/-NONE- they/PRP |      like/IN->VBP      | *T*-2/-NONE- had/VBD *-3/
VBZ *T*-4/-NONE- Mrs./NNP |      Ward/NN->NNP      | ./.
                          |      Soon/NN->RB       | ,/, T-shirts/NNS *ICH*-1/
              Soon/RB ,/, |    T-shirts/NN->NNS    | *ICH*-1/-NONE- appeared/V
shirts/NNS *ICH*-1/-NONE- |    appeared/NN->VBD    | in/IN the/DT corridors/NN
appeared/VBD in/IN the/DT |   corridors/NN->NNS    | that/WDT *T*-2/-NONE- car
NNS that/WDT *T*-2/-NONE- |    carried/VBN->VBD    | the/DT school/NN 's/POS f
D the/DT school/NN 's/POS |    familiar/NN->JJ     | red-and-white/JJ GHS/NNP 
ool/NN 's/POS familiar/JJ |  red-and-white/NN->JJ  | GHS/NNP logo/NN on/IN the
iliar/JJ red-and-white/JJ |      GHS/NN->NNP       | logo/NN on/IN the/DT fron
             On/IN the/DT |      back/VB->NN       | ,/, the/DT shirts/NNS rea
the/DT back/NN ,/, the/DT |     shirts/NN->NNS     | read/VBD ,/, ``/`` We/PRP
/NN ,/, the/DT shirts/NNS |     read/VBP->VBD      | ,/, ``/`` We/PRP have/VBP
,/, ``/`` We/PRP have/VBP |      all/DT->PDT       | the/DT answers/NNS ./. ''
P have/VBP all/PDT the/DT |    answers/NN->NNS     | ./. ''/''
                          |      Many/NN->JJ       | colleagues/NNS are/VBP an
                  Many/JJ |   colleagues/NN->NNS   | are/VBP angry/JJ at/IN Mr
JJ colleagues/NNS are/VBP |      angry/NN->JJ      | at/IN Mrs./NNP Yeargin/NN
P angry/JJ at/IN Mrs./NNP |    Yeargin/NN->NNP     | ./.
/'' says/VBZ *T*-1/-NONE- |    Cathryn/NN->NNP     | Rice/NNP ,/, who/WP *T*-1
 *T*-1/-NONE- Cathryn/NNP |      Rice/NN->NNP      | ,/, who/WP *T*-100/-NONE-
n/NNP Rice/NNP ,/, who/WP |   *T*-100/NN->-NONE-   | had/VBD discovered/VBN th
WP *T*-100/-NONE- had/VBD |   discovered/NN->VBN   | the/DT crib/NN notes/NNS 
overed/VBN the/DT crib/NN |     notes/NN->NNS      | ./.
             ``/`` We/PRP |      work/NN->VBP      | damn/RB hard/RB at/IN wha
    ``/`` We/PRP work/VBP |      damn/NN->RB       | hard/RB at/IN what/WP we/
/IN what/WP we/PRP do/VBP |   *T*-101/NN->-NONE-   | for/IN damn/RB little/JJ 
VBP *T*-101/-NONE- for/IN |      damn/NN->RB       | little/JJ pay/NN ,/, and/
 for/IN damn/RB little/JJ |       pay/VB->NN       | ,/, and/CC what/WP she/PR
VBD *T*-1/-NONE- cast/VBN |     unfair/NN->JJ      | aspersions/NNS on/IN all/
-NONE- cast/VBN unfair/JJ |   aspersions/NN->NNS   | on/IN all/DT of/IN us/PRP
        But/CC several/JJ |    teachers/NN->NNS    | also/RB say/VBP 0/-NONE- 
-NONE- the/DT incident/NN |     casts/NN->VBZ      | doubt/NN on/IN the/DT wis
 wisdom/NN of/IN */-NONE- |   evaluating/NN->VBG   | teachers/NNS or/CC school
N */-NONE- evaluating/VBG |    teachers/NN->NNS    | or/CC schools/NNS by/IN *
 by/IN */-NONE- using/VBG |  standardized/NN->JJ   | test/NN scores/NNS ./.
G standardized/JJ test/NN |     scores/NN->NNS     | ./.
                          |      Says/NN->VBZ      | *ICH*-1/-NONE- Gayle/NNP 
  Says/VBZ *ICH*-1/-NONE- |     Gayle/NN->NNP      | Key/NNP ,/, a/DT mathemat
 *ICH*-1/-NONE- Gayle/NNP |      Key/NN->NNP       | ,/, a/DT mathematics/NN t
``/`` The/DT incentive/NN |       pay/VB->NN       | thing/NN has/VBZ opened/V
VBZ opened/VBN up/RP a/DT |       can/MD->NN       | of/IN worms/NNS ./.
N up/RP a/DT can/NN of/IN |     worms/NN->NNS      | ./.
    There/EX may/MD be/VB |     others/NN->NNS     | doing/VBG what/WP she/PRP
                 Mrs./NNP |    Yeargin/NN->NNP     | says/VBZ 0/-NONE- she/PRP
says/VBZ 0/-NONE- she/PRP |    pleaded/NN->VBD     | guilty/JJ because/IN she/
NONE- she/PRP pleaded/VBD |     guilty/NN->JJ      | because/IN she/PRP realiz
lty/JJ because/IN she/PRP |    realized/NN->VBD    | 0/-NONE- it/PRP *EXP*-2/-
P *EXP*-2/-NONE- would/MD |       no/DT->RB        | longer/RBR be/VB possible
*-2/-NONE- would/MD no/RB |    longer/JJR->RBR     | be/VB possible/JJ *-1/-NO
ecause/IN she/PRP was/VBD |     afraid/NN->JJ      | of/IN further/JJ charges/
P was/VBD afraid/JJ of/IN |    further/RBR->JJ     | charges/NNS ./.
                 Mrs./NNP |      Ward/NN->NNP      | ,/, for/IN one/CD ,/, was
for/IN one/CD ,/, was/VBD |    relieved/NN->JJ     | ./.
ce/NN against/IN Mrs./NNP |    Yeargin/NN->NNP     | ,/, popular/JJ sentiment/
RP$ favor/NN ,/, Mrs./NNP |      Ward/NN->NNP      | says/VBZ 0/-NONE- *T*-2/-
hat/IN ``/`` I/PRP 'm/VBP |     afraid/NN->JJ      | 0/-NONE- a/DT jury/NN wou
/RB have/VB convicted/VBN |     her/PRP$->PRP      | ./.
                          |      Since/NN->IN      | chalk/NN first/RB touched
ince/IN chalk/NN first/RB |    touched/NN->VBD     | slate/NN ,/, schoolchildr
choolchildren/NN have/VBP |    wanted/VBD->VBN     | *-1/-NONE- to/TO know/VB 
nted/VBN *-1/-NONE- to/TO |      know/VBP->VB      | :/: What/WP 's/VBZ *T*-2/
    These/DT days/NNS ,/, |    students/NN->NNS    | can/MD often/RB find/VB t
dents/NNS can/MD often/RB |      find/VBP->VB      | the/DT answer/NN in/IN te
VB the/DT answer/NN in/IN |  test-coaching/NN->JJ  | workbooks/NNS and/CC work
NN in/IN test-coaching/JJ |   workbooks/NN->NNS    | and/CC worksheets/NNS 0/-
g/JJ workbooks/NNS and/CC |   worksheets/NN->NNS   | 0/-NONE- their/PRP$ teach
s/NNS 0/-NONE- their/PRP$ |    teachers/NN->NNS    | give/VBP them/PRP *T*-1/-
E- in/IN the/DT weeks/NNS |      prior/NN->RB      | to/TO */-NONE- taking/VBG
S prior/RB to/TO */-NONE- |     taking/NN->VBG     | standardized/JJ achieveme
to/TO */-NONE- taking/VBG |  standardized/NN->JJ   | achievement/NN tests/NNS 
N section/NN of/IN the/DT |     widely/NN->RB      | used/JJ California/NNP Ac
NN of/IN the/DT widely/RB |      used/VBN->JJ      | California/NNP Achievemen
 the/DT widely/RB used/JJ |   California/NN->NNP   | Achievement/NNP Test/NNP 
RB used/JJ California/NNP |  Achievement/NN->NNP   | Test/NNP asks/VBZ fifth/J
ornia/NNP Achievement/NNP |      Test/NN->NNP      | asks/VBZ fifth/JJ graders
 Achievement/NNP Test/NNP |      asks/NN->VBZ      | fifth/JJ graders/NNS :/: 
est/NNP asks/VBZ fifth/JJ |    graders/NN->NNS     | :/: ``/`` What/WP is/VBZ 
Z *T*-1/-NONE- another/DT |      name/VB->NN       | for/IN the/DT Roman/JJ nu
/DT name/NN for/IN the/DT |      Roman/NN->JJ      | numeral/NN IX/CD ?/. ''/'
he/DT Roman/JJ numeral/NN |       IX/NN->CD        | ?/. ''/''
           It/PRP also/RB |      asks/NN->VBZ      | them/PRP *-1/-NONE- to/TO
them/PRP *-1/-NONE- to/TO |       add/NN->VB       | two-sevenths/NNS and/CC t
P *-1/-NONE- to/TO add/VB |  two-sevenths/NN->NNS  | and/CC three-sevenths/NNS
B two-sevenths/NNS and/CC | three-sevenths/NN->NNS | ./.
                          |   Worksheets/NN->NNS   | in/IN a/DT test-practice/
Worksheets/NNS in/IN a/DT |  test-practice/NN->JJ  | kit/NN called/VBN */-NONE
it/NN called/VBN */-NONE- |    Learning/NN->NNP    | Materials/NNPS ,/, sold/V
VBN */-NONE- Learning/NNP |   Materials/NN->NNPS   | ,/, sold/VBN */-NONE- to/
N the/DT country/NN by/IN | Macmillan\/McGraw-Hill/NN->NNP | School/NNP Publishing/NNP
acmillan\/McGraw-Hill/NNP |     School/NN->NNP     | Publishing/NNP Co./NNP ,/
cGraw-Hill/NNP School/NNP |   Publishing/NN->NNP   | Co./NNP ,/, contain/VBP t
ublishing/NNP Co./NNP ,/, |    contain/VB->VBP     | the/DT same/JJ questions/
ontain/VBP the/DT same/JJ |   questions/NN->NNS    | ./.
   In/IN many/JJ other/JJ |   instances/NN->NNS    | ,/, there/EX is/VBZ almos
DT real/JJ test/NN and/CC |    Learning/NN->NNP    | Materials/NNPS ./.
st/NN and/CC Learning/NNP |   Materials/NN->NNPS   | ./.
                  What/WP |   *T*-102/NN->-NONE-   | 's/VBZ more/JJR ,/, the/D
   What/WP *T*-102/-NONE- |      's/POS->VBZ       | more/JJR ,/, the/DT test/
/WP *T*-102/-NONE- 's/VBZ |     more/RBR->JJR      | ,/, the/DT test/NN and/CC
,/, the/DT test/NN and/CC |    Learning/NN->NNP    | Materials/NNPS are/VBP bo
st/NN and/CC Learning/NNP |   Materials/NN->NNPS   | are/VBP both/DT produced/
DT same/JJ company/NN ,/, | Macmillan\/McGraw-Hill/NN->NNP | ,/, a/DT joint/JJ venture
/NNP 's/POS parent/NN ,/, |    Britain/NN->NNP     | 's/POS Maxwell/NNP Commun
in/NNP 's/POS Maxwell/NNP | Communication/NN->NNP  | Corp/NNP ./.
                          |      Close/NN->JJ      | parallels/NNS between/IN 
                 Close/JJ |   parallels/NN->NNS    | between/IN tests/NNS and/
VBP common/JJ ,/, some/DT |   educators/NN->NNS    | and/CC researchers/NNS sa
                          | Test-preparation/NN->JJ | booklets/NNS ,/, software
      Test-preparation/JJ |    booklets/NN->NNS    | ,/, software/NN and/CC wo
NS ,/, software/NN and/CC |   worksheets/NN->NNS   | are/VBP a/DT booming/VBG 
rksheets/NNS are/VBP a/DT |    booming/NN->VBG     | publishing/VBG subindustr
NS themselves/PRP that/IN |    critics/NN->NNS     | say/VBP 0/-NONE- they/PRP
nt/VBP a/DT form/NN of/IN | school-sponsored/NN->JJ | cheating/NN ./.
- these/DT preparation/NN |    booklets/NN->NNS    | -RCB-/-RRB- into/IN my/PR
s/NNS -RCB-/-RRB- into/IN |      my/NN->PRP$       | classroom/NN ,/, I/PRP 'd
P$ classroom/NN ,/, I/PRP |       'd/NN->MD        | have/VB a/DT hard/JJ time
ssroom/NN ,/, I/PRP 'd/MD |      have/VBP->VB      | a/DT hard/JJ time/NN *-1/
ard/JJ time/NN *-1/-NONE- |   justifying/NN->VBG   | to/TO my/PRP$ students/NN
ONE- justifying/VBG to/TO |      my/NN->PRP$       | students/NNS and/CC paren
tifying/VBG to/TO my/PRP$ |    students/NN->NNS    | and/CC parents/NNS that/I
/PRP$ students/NNS and/CC |    parents/NN->NNS     | that/IN it/PRP was/VBD n'
ts/NNS and/CC parents/NNS |      that/WDT->IN      | it/PRP was/VBD n't/RB che
VBZ *T*-2/-NONE- John/NNP |    Kaminski/NN->NNP    | ,/, a/DT Traverse/NNP Cit
NNP Kaminski/NNP ,/, a/DT |    Traverse/NN->NNP    | City/NNP ,/, Mich./NNP ,/
Traverse/NNP City/NNP ,/, |     Mich./NN->NNP      | ,/, teacher/NN who/WP *T*
NNP ,/, teacher/NN who/WP |   *T*-103/NN->-NONE-   | has/VBZ studied/VBN test/
   He/PRP and/CC other/JJ |    critics/NN->NNS     | say/VBP 0/-NONE- such/JJ 
NONE- such/JJ coaching/NN |      aids/NN->NNS      | can/MD defeat/VB the/DT p
aching/NN aids/NNS can/MD |     defeat/NN->VB      | the/DT purpose/NN of/IN s
B the/DT purpose/NN of/IN |  standardized/NN->JJ   | tests/NNS ,/, which/WDT *
J tests/NNS ,/, which/WDT |   *T*-104/NN->-NONE-   | is/VBZ */-NONE- to/TO gau
NE- is/VBZ */-NONE- to/TO |      gauge/NN->VB      | learning/NN progress/NN .
      ``/`` It/PRP 's/VBZ |       as/RB->IN        | if/IN France/NNP decided/
ided/VBD *-1/-NONE- to/TO |      give/VBP->VB      | only/JJ French/JJ history
 *-1/-NONE- to/TO give/VB |      only/RB->JJ       | French/JJ history/NN ques
y/JJ French/JJ history/NN |   questions/NN->NNS    | to/TO students/NNS in/IN 
ry/NN questions/NNS to/TO |    students/NN->NNS    | in/IN a/DT European/JJ hi
/CC when/WRB everybody/NN |      aces/NN->VBZ      | the/DT test/NN *T*-3/-NON
y/VBP 0/-NONE- their/PRP$ |      kids/NN->NNS      | are/VBP good/JJ in/IN Eur
VBZ *T*-2/-NONE- John/NNP |    Cannell/NN->NNP     | ,/, an/DT Albuquerque/NNP
NNP Cannell/NNP ,/, an/DT |  Albuquerque/NN->NNP   | ,/, N.M./NNP ,/, psychiat
an/DT Albuquerque/NNP ,/, |      N.M./NN->NNP      | ,/, psychiatrist/NN and/C
CC founder/NN of/IN an/DT |   educational/NN->JJ   | research/NN organization/
ch/NN organization/NN ,/, |    Friends/NN->NNPS    | for/IN Education/NNP ,/, 
N ,/, Friends/NNPS for/IN |   Education/NN->NNP    | ,/, which/WDT *T*-105/-NO
ucation/NNP ,/, which/WDT |   *T*-105/NN->-NONE-   | has/VBZ studied/VBN stand
NONE- has/VBZ studied/VBN |  standardized/NN->JJ   | testing/NN ./.
                          |  Standardized/NN->JJ   | achievement/NN tests/NNS 
N the/DT country/NN to/TO |    students/NN->NNS    | generally/RB from/IN kind
indergarten/NN through/IN |     eighth/NN->JJ      | grade/NN ./.
          The/DT most/RBS |     widely/NN->RB      | used/JJ of/IN these/DT te
The/DT most/RBS widely/RB |      used/VBN->JJ      | of/IN these/DT tests/NNS 
hese/DT tests/NNS are/VBP | Macmillan\/McGraw/NN->NNP | 's/POS CAT/NNP and/CC Com
millan\/McGraw/NNP 's/POS |      CAT/NN->NNP       | and/CC Comprehensive/NNP 
NNP 's/POS CAT/NNP and/CC | Comprehensive/NN->NNP  | Test/NN of/IN Basic/JJ Sk
hensive/NNP Test/NN of/IN |      Basic/NN->JJ      | Skills/NNS ;/: the/DT Iow
NP Test/NN of/IN Basic/JJ |     Skills/NN->NNS     | ;/: the/DT Iowa/NNP Test/
/JJ Skills/NNS ;/: the/DT |      Iowa/NN->NNP      | Test/NN of/IN Basic/JJ Sk
DT Iowa/NNP Test/NN of/IN |      Basic/NN->JJ      | Skills/NNS ,/, by/IN Houg
NP Test/NN of/IN Basic/JJ |     Skills/NN->NNS     | ,/, by/IN Houghton/NNP Mi
c/JJ Skills/NNS ,/, by/IN |    Houghton/NN->NNP    | Mifflin/NNP Co./NNP ;/: a
NS ,/, by/IN Houghton/NNP |    Mifflin/NN->NNP     | Co./NNP ;/: and/CC Harcou
in/NNP Co./NNP ;/: and/CC |    Harcourt/NN->NNP    | Brace/NNP Jovanovich/NNP 
P ;/: and/CC Harcourt/NNP |     Brace/NN->NNP      | Jovanovich/NNP Inc./NNP '
CC Harcourt/NNP Brace/NNP |   Jovanovich/NN->NNP   | Inc./NNP 's/POS Metropoli
ovich/NNP Inc./NNP 's/POS |  Metropolitan/NN->NNP  | Achievement/NNP Test/NNP 
P 's/POS Metropolitan/NNP |  Achievement/NN->NNP   | Test/NNP and/CC Stanford/
litan/NNP Achievement/NNP |      Test/NN->NNP      | and/CC Stanford/NNP Achie
t/NNP and/CC Stanford/NNP |  Achievement/NN->NNP   | Test/NNP ./.
nford/NNP Achievement/NNP |      Test/NN->NNP      | ./.
 figures/NNS of/IN the/DT |    test-prep/NN->JJ    | materials/NNS are/VBP n't
erials/NNS are/VBP n't/RB |      known/NN->JJ      | *-1/-NONE- ,/, but/CC the
NE- ,/, but/CC their/PRP$ |      reach/VB->NN      | into/IN schools/NNS is/VB
                    In/IN |    Arizona/NN->NNP     | ,/, California/NNP ,/, Fl
    In/IN Arizona/NNP ,/, |   California/NN->NNP   | ,/, Florida/NNP ,/, Louis
NP ,/, California/NNP ,/, |    Florida/NN->NNP     | ,/, Louisiana/NNP ,/, Mar
a/NNP ,/, Florida/NNP ,/, |   Louisiana/NN->NNP    | ,/, Maryland/NNP ,/, New/
NNP ,/, Louisiana/NNP ,/, |    Maryland/NN->NNP    | ,/, New/NNP Jersey/NNP ,/
 Jersey/NNP ,/, South/NNP |    Carolina/NN->NNP    | and/CC Texas/NNP ,/, educ
/NNP and/CC Texas/NNP ,/, |   educators/NN->NNS    | say/VBP 0/-NONE- they/PRP
BP common/JJ classroom/NN |     tools/NN->NNS      | ./.
n/CD ''/'' of/IN its/PRP$ |    Scoring/NN->NNP     | High/NNP test-preparation
f/IN its/PRP$ Scoring/NNP |      High/NN->NNP      | test-preparation/JJ books
PRP$ Scoring/NNP High/NNP | test-preparation/NN->JJ | books/NNS have/VBP been/V
uction/NN 10/CD years/NNS |       ago/IN->RB       | ,/, with/IN most/JJS sale
       About/IN 20,000/CD |     sets/VBZ->NNS      | of/IN Learning/NNP Materi
 20,000/CD sets/NNS of/IN |    Learning/NN->NNP    | Materials/NNPS teachers/N
ts/NNS of/IN Learning/NNP |   Materials/NN->NNPS   | teachers/NNS '/POS binder
arning/NNP Materials/NNPS |    teachers/NN->NNS    | '/POS binders/NNS have/VB
terials/NNPS teachers/NNS |       '/''->POS        | binders/NNS have/VBP also
s/NNPS teachers/NNS '/POS |    binders/NN->NNS     | have/VBP also/RB been/VBN
terials/NNS in/IN each/DT |      set/VBD->NN       | reach/VBP about/IN 90/CD 
/NNS in/IN each/DT set/NN |     reach/VB->VBP      | about/IN 90/CD students/N
 reach/VBP about/IN 90/CD |    students/NN->NNS    | ./.
                          |    Scoring/NN->NNP     | High/NNP and/CC Learning/
              Scoring/NNP |      High/NN->NNP      | and/CC Learning/NNP Mater
oring/NNP High/NNP and/CC |    Learning/NN->NNP    | Materials/NNPS are/VBP th
h/NNP and/CC Learning/NNP |   Materials/NN->NNPS   | are/VBP the/DT best-selli
rials/NNPS are/VBP the/DT |  best-selling/NN->JJS  | preparation/NN tests/NNS 
              Michael/NNP |      Kean/NN->NNP      | ,/, director/NN of/IN mar
of/IN marketing/NN for/IN |      CTB/NN->NNP       | Macmillan\/McGraw/NNP ,/,
rketing/NN for/IN CTB/NNP | Macmillan\/McGraw/NN->NNP | ,/, the/DT Macmillan\/McG
an\/McGraw/NNP ,/, the/DT | Macmillan\/McGraw/NN->NNP | division/NN that/WDT *T*-
/NNP division/NN that/WDT |   *T*-106/NN->-NONE-   | publishes/VBZ Learning/NN
N that/WDT *T*-106/-NONE- |   publishes/NN->VBZ    | Learning/NNP Materials/NN
-106/-NONE- publishes/VBZ |    Learning/NN->NNP    | Materials/NNPS ,/, says/V
ublishes/VBZ Learning/NNP |   Materials/NN->NNPS   | ,/, says/VBZ 0/-NONE- it/
ONE- it/PRP is/VBZ n't/RB |     aimed/NN->VBN      | *-1/-NONE- at/IN */-NONE-
*-1/-NONE- at/IN */-NONE- |   improving/NN->VBG    | test/NN scores/NNS ./.
NE- improving/VBG test/NN |     scores/NN->NNS     | ./.
rted/VBD that/IN exact/JJ |   questions/NN->NNS    | were/VBD n't/RB replicate
tions/NNS were/VBD n't/RB |   replicated/NN->VBN   | *-1/-NONE- ./.
        When/WRB */-NONE- |    referred/NN->VBN    | *-2/-NONE- to/TO the/DT q
N *-2/-NONE- to/TO the/DT |   questions/NN->NNS    | that/WDT *T*-107/-NONE- m
DT questions/NNS that/WDT |   *T*-107/NN->-NONE-   | matched/VBN *T*-1/-NONE- 
S that/WDT *T*-107/-NONE- |    matched/NN->VBN     | *T*-1/-NONE- ,/, he/PRP s
D 0/-NONE- it/PRP was/VBD |  coincidental/NN->JJ   | ./.
                  Mr./NNP |    Kaminski/NN->NNP    | ,/, the/DT schoolteacher/
NN ,/, and/CC William/NNP |    Mehrens/NN->NNP     | ,/, a/DT Michigan/NNP Sta
/NNP Mehrens/NNP ,/, a/DT |    Michigan/NN->NNP    | State/NNP University/NNP 
ation/NN professor/NN ,/, |   concluded/NN->VBD    | in/IN a/DT study/NN last/
study/NN last/JJ June/NNP |      that/WDT->IN      | CAT/NNP test/NN versions/
 last/JJ June/NNP that/IN |      CAT/NN->NNP       | test/NN versions/NNS of/I
est/NN versions/NNS of/IN |    Scoring/NN->NNP     | High/NNP and/CC Learning/
ons/NNS of/IN Scoring/NNP |      High/NN->NNP      | and/CC Learning/NNP Mater
